label_id,label,date,ticker,source,title,text,url,notes
NEG000011,negative,2025-06-24,ISATR,KAP,TÜRKİYE İŞ BANKASI A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Bankamıza Açılan Dava Hakkında,https://www.kap.org.tr/tr/Bildirim/1451582,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000012,negative,2025-06-24,ISBTR,KAP,TÜRKİYE İŞ BANKASI A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Bankamıza Açılan Dava Hakkında,https://www.kap.org.tr/tr/Bildirim/1451582,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000013,negative,2025-06-24,ISCTR,KAP,TÜRKİYE İŞ BANKASI A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Bankamıza Açılan Dava Hakkında,https://www.kap.org.tr/tr/Bildirim/1451582,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000014,negative,2025-06-24,ISKUR,KAP,TÜRKİYE İŞ BANKASI A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Bankamıza Açılan Dava Hakkında,https://www.kap.org.tr/tr/Bildirim/1451582,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000015,negative,2025-06-24,MRSHL,KAP,MARSHALL BOYA VE VERNİK SANAYİİ A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Şirketimizin Yönetim Kurulu Kararının İptaline İlişkin Dava Hakkında,https://www.kap.org.tr/tr/Bildirim/1451176,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000016,negative,2025-06-24,SEYKM,KAP,SEYİTLER KİMYA SANAYİ A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Tazminat Davası Hk,https://www.kap.org.tr/tr/Bildirim/1451499,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000017,negative,2025-06-24,SEYKM,KAP,SEYİTLER KİMYA SANAYİ A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Marka İhlal Davası Hk,https://www.kap.org.tr/tr/Bildirim/1451498,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000018,negative,2025-06-24,TIB,KAP,TÜRKİYE İŞ BANKASI A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Bankamıza Açılan Dava Hakkında,https://www.kap.org.tr/tr/Bildirim/1451582,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000019,negative,2025-06-25,ALCTL,KAP,ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim Kar Payı Dağıtılmamasına İlişkin Teklifin Genel Kurulda Onaylanması Hk.,https://www.kap.org.tr/tr/Bildirim/1451827,weak_label_negative:dividend_not_distributed; human_reviewed
NEG000020,negative,2025-06-25,ICUGS,KAP,ICU GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim 2024 yılında Kar Dağıtılmaması Kararının Genel Kurulda Onaylanması,https://www.kap.org.tr/tr/Bildirim/1451989,weak_label_negative:dividend_not_distributed; human_reviewed
NEG000021,negative,2025-06-25,TRILC,KAP,TURK İLAÇ VE SERUM SANAYİ A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim Kar Payı Dağıtılmaması Hususunda Olağan Genel Kurul Neticesi Hakkında.,https://www.kap.org.tr/tr/Bildirim/1451891,weak_label_negative:dividend_not_distributed; human_reviewed
NEG000022,negative,2025-06-26,LINK,KAP,LİNK BİLGİSAYAR SİSTEMLERİ YAZILIMI VE DONANIMI SANAYİ VE TİCARET A.Ş. - Hak Kullanım Süreç İptal Bildirimi,Hak Kullanım Süreç İptal Bildirimi Kayıtlı Sermaye Sistemine ilişkin SPK'ya yapılan Başvurunun geri çekilmesi hak.,https://www.kap.org.tr/tr/Bildirim/1452339,weak_label_negative:cancelled_or_rejected_action; human_reviewed
NEG000023,negative,2025-06-27,ALARK,KAP,ALARKO HOLDİNG A.Ş. - Diğer Pay İhracı - İptaline İlişkin Bildirim,Diğer Pay İhracı - İptaline İlişkin Bildirim Sermaye Azaltımına İlişkin Yönetim Kurulu Kararı,https://www.kap.org.tr/tr/Bildirim/1452928,weak_label_negative:cancelled_or_rejected_action; human_reviewed
NEG000024,negative,2025-09-18,FORMT,KAP,FORMET METAL VE CAM SANAYİ A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler 2024 yılı Olağan Genel Kurul toplantısının yapılması için açılan temsilci atanması davasının sonuçlanması,https://www.kap.org.tr/tr/Bildirim/1490824,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000025,negative,2025-09-18,FORMT,KAP,FORMET METAL VE CAM SANAYİ A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Yönetim Kurulu Kararına karşı açılan iptal davası,https://www.kap.org.tr/tr/Bildirim/1490807,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000026,negative,2025-09-19,IEYHO,KAP,IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Ortaklık aleyhine dava açılması,https://www.kap.org.tr/tr/Bildirim/1491444,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000027,negative,2025-09-22,EMNIS,KAP,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş. - Özel Durum Açıklaması (Genel),Özel Durum Açıklaması (Genel) Konkordato 46. Taksit Ödemesi,https://www.kap.org.tr/tr/Bildirim/1491753,weak_label_negative:penalty_or_concordat; human_reviewed
NEG000028,negative,2025-09-25,CWENE,KAP,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş. - Hak Kullanım Süreç İptal Bildirimi,Hak Kullanım Süreç İptal Bildirimi Pay Geri Alım İşlemleri İptal Kararı Hakkında,https://www.kap.org.tr/tr/Bildirim/1492920,weak_label_negative:cancelled_or_rejected_action; human_reviewed
NEG000029,negative,2025-09-26,IEYHO,KAP,IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş. - Genel Kurul İşlemlerine İlişkin Bildirim,Genel Kurul İşlemlerine İlişkin Bildirim Genel Kurul İptali,https://www.kap.org.tr/tr/Bildirim/1493337,weak_label_negative:cancelled_or_rejected_action; human_reviewed
NEG000030,negative,2025-09-26,IEYHO,KAP,IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş. - Hak Kullanım Süreç İptal Bildirimi,Hak Kullanım Süreç İptal Bildirimi Genel Kurul İptali,https://www.kap.org.tr/tr/Bildirim/1493339,weak_label_negative:cancelled_or_rejected_action; human_reviewed
NEG000031,negative,2025-12-22,YKB,KAP,YAPI VE KREDİ BANKASI A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Genel kurul kararı aleyhine açılan dava hk.,https://www.kap.org.tr/tr/Bildirim/1528665,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000032,negative,2025-12-22,YKBNK,KAP,YAPI VE KREDİ BANKASI A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Genel kurul kararı aleyhine açılan dava hk.,https://www.kap.org.tr/tr/Bildirim/1528665,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000033,negative,2025-12-24,TRMET,KAP,TR ANADOLU METAL MADENCİLİK İŞLETMELERİ A.Ş. - Özel Durum Açıklaması (Genel),Özel Durum Açıklaması (Genel) Şirketimizin Bağlı Ortaklığı TR Anadolu İnşaat ve Ticaret A.Ş.nin Taraf Olduğu Dava Hk.,https://www.kap.org.tr/tr/Bildirim/1529503,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000034,negative,2025-12-25,VBTYZ,KAP,VBT YAZILIM A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Bedelli Sermaye Artırımı Başvurusuna İtiraz Davası Hakkında,https://www.kap.org.tr/tr/Bildirim/1529936,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000035,negative,2025-12-26,FORMT,KAP,FORMET METAL VE CAM SANAYİ A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Tahsisli sermaye artırımı kararına karşı açılan iptal davasının ön inceleme duruşmasının yapılması,https://www.kap.org.tr/tr/Bildirim/1530029,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000036,negative,2025-12-29,SEYKM,KAP,SEYİTLER KİMYA SANAYİ A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Tazminat Davası Hk.,https://www.kap.org.tr/tr/Bildirim/1530450,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000037,negative,2025-12-30,TIMUR,KAP,TİMUR GAYRİMENKUL GELİŞTİRME YAPI VE YATIRIM A.Ş. - Hak Kullanım Süreç İptal Bildirimi,Hak Kullanım Süreç İptal Bildirimi,https://www.kap.org.tr/tr/Bildirim/1530868,weak_label_negative:cancelled_or_rejected_action; human_reviewed
NEG000038,negative,2026-03-25,BESTE,KAP,BEST BRANDS GRUP ENERJİ YATIRIM A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim Kar Dağıtılmamasına İlişkin Olağan Genel Kurul Toplantısı Neticesi Hakkında.,https://www.kap.org.tr/tr/Bildirim/1575563,weak_label_negative:dividend_not_distributed; human_reviewed
NEG000039,negative,2026-03-26,FRIGO,KAP,FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Ortaklık Aleyhine Dava Açılması / Davaya İlişkin Gelişmeler Hk.,https://www.kap.org.tr/tr/Bildirim/1576814,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000040,negative,2026-03-30,CRDFA,KAP,CREDITWEST FAKTORİNG A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim 2025 Yılı Olağan Genel Kurul Toplantısında 2025 Yılı Karının Dağıtılmamasına Karar Verilmiştir.,https://www.kap.org.tr/tr/Bildirim/1578244,weak_label_negative:dividend_not_distributed; human_reviewed
NEG000041,negative,2026-05-20,AGHOL,KAP,AG ANADOLU GRUBU HOLDİNG A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Genel Kurul Toplantısında alınan bazı kararlara ilişkin dava açılması,https://www.kap.org.tr/tr/Bildirim/1609176,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000042,negative,2026-05-20,EMNIS,KAP,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş. - Özel Durum Açıklaması (Genel),Özel Durum Açıklaması (Genel) Konkordato 54. Taksit Ödemesi,https://www.kap.org.tr/tr/Bildirim/1609006,weak_label_negative:penalty_or_concordat; human_reviewed
NEG000043,negative,2026-05-20,METRO,KAP,METRO TİCARİ VE MALİ YATIRIMLAR HOLDİNG A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim Kar Dağıtılmaması Hususunda Olağan Genel Kurul Toplantısı Neticesi Hakkında.,https://www.kap.org.tr/tr/Bildirim/1609081,weak_label_negative:dividend_not_distributed; human_reviewed
NEG000044,negative,2026-05-20,YKB,KAP,YAPI VE KREDİ BANKASI A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Genel Kurul kararı aleyhine açılan davaya ilişkin istinaf başvurusu,https://www.kap.org.tr/tr/Bildirim/1609238,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000045,negative,2026-05-20,YKBNK,KAP,YAPI VE KREDİ BANKASI A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Genel Kurul kararı aleyhine açılan davaya ilişkin istinaf başvurusu,https://www.kap.org.tr/tr/Bildirim/1609238,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000046,negative,2026-05-21,KNFRT,KAP,KONFRUT TARIM A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim Kâr Payı Dağıtılmaması Hususunun Olağan Genel Kurul'da Onaylanması,https://www.kap.org.tr/tr/Bildirim/1609550,weak_label_negative:dividend_not_distributed; human_reviewed
NEG000047,negative,2026-05-22,CGCAM,KAP,ÇAĞDAŞ CAM SANAYİ VE TİCARET A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim Yönetim Kurulu'nun Kar Dağıtılmamasına İlişkin Önerisinin Genel Kurulda Onaylanması,https://www.kap.org.tr/tr/Bildirim/1610330,weak_label_negative:dividend_not_distributed; human_reviewed
